Brigham Young University (BYU), 408, 0
Chrysler, 421, 902
US Department of Defense, 456, 0
Rent-A-Center, 429, 2222
Cummins, 486, 676
Aéropostale, 466, 165
University of Maryland, 418, 870
NVIDIA, 638, 303
BB&T, 450, 10
Papa John's, 414, 106
Burlington Coat Factory, 411, 2993
Cardinal Health, 426, 446
24 Hour Fitness, 425, 3154
General Dynamics Information Technology, 419, 0
First Data, 442, 649
Level 3 Communications, 437, 160
Rackspace, 450, 225
University of Texas at Austin, 385, 246
Baker Hughes, 593, 778
MITRE, 421, 296
Southwest Airlines, 421, 2
hhgregg, 422, 1005
DSW, 413, 837
CareerBuilder, 438, 29
Saks Fifth Avenue, 398, 16
TeleTech, 561, 125
Thermo Fisher Scientific, 486, 659
BearingPoint, 429, 0
YP, 366, 179
Halliburton, 544, 1042
Outback Steakhouse, 412, 178
Massage Envy, 396, 4296
Coach, 447, 137
Fannie Mae, 418, 307
Riverbed Technology, 466, 101
Winn-Dixie, 399, 2945
GNC, 433, 1293
AECOM, 763, 577
University of Illinois at Urbana-Champaign, 395, 76
Pitney Bowes, 538, 204
The Children's Place, 457, 52
University of Pennsylvania, 391, 1249
Ricoh Americas Corporation, 390, 0
GE Capital, 552, 799
Groupon, 542, 119
Morgan Stanley Smith Barney, 461, 0
Overstock.com, 390, 65
Avon Products, 543, 25
Netflix, 393, 179
Harris Teeter, 381, 1979
Motorola Solutions, 506, 207
Arizona State University, 378, 192
Dow Chemical, 464, 115
TIAA-CREF, 403, 374
Georgia Tech, 367, 187
H&M, 537, 1828
CBRE, 457, 839
American Cancer Society, 396, 335
Payless ShoeSource, 457, 31
Cheesecake Factory, 384, 1543
Keller Williams, 381, 123
Charter Communications, 362, 551
Pacific Gas and Electric, 380, 153
University of Florida, 377, 270
FIS, 488, 248
HSBC Bank USA, 436, 0
Belk, 398, 649
CompuCom, 421, 546
Anthropologie, 413, 333
Northwestern University, 368, 692
Freescale Semiconductor, 559, 10
Jacobs Engineering, 523, 0
CEB, 479, 1
Micron Technology, 468, 258
Total Quality Logistics, 345, 138
Barclays Capital, 711, 0
Washington Mutual, 341, 0
Chico's FAS, 420, 4523
CROSSMARK, 410, 6762
Marshalls, 379, 135
3M, 553, 525
Waste Management, 403, 1137
Unisys, 652, 212
IKEA, 521, 135
CSAA Insurance Group, 397, 45
NYU (New York University), 353, 0
Covidien, 414, 219
Bain & Company, 543, 30
SRA International, 394, 496
Polo Ralph Lauren, 388, 0
KeyBank, 349, 1145
Boston Scientific, 405, 281
Harris, 374, 2405
Brookdale Senior Living, 365, 0
Penn State University, 359, 1070
ALDI, 433, 4
HSBC Holdings, 941, 0
Regal Entertainment, 357, 0
Gannett, 354, 709
Kimberly-Clark, 430, 216
Bristol-Myers Squibb, 415, 397
Quicken Loans, 332, 99
Baxter, 391, 1063
Clear Channel, 371, 516
Cengage Learning, 360, 125
Ruby Tuesday, 362, 19
Regions Financial, 353, 854
Avanade, 470, 200
Navistar, 337, 113
Teach for America, 344, 0
Olive Garden Italian Restaurants, 311, 0
UC San Diego, 339, 203
John Deere, 454, 150
Scottrade, 421, 184
Borders, 431, 11
RGIS, 359, 319
Ohio State University, 341, 131
Sodexo USA, 330, 1
7-Eleven, 377, 38
TJX Companies, 352, 106
Alorica, 311, 153
Hobby Lobby, 363, 331
Freddie Mac, 335, 21
Dunkin' Donuts, 320, 68
Protiviti, 407, 245
BCBG, 402, 38
Avis Budget Group, 374, 1537
CACI International, 330, 1122
Caesars Entertainment, 326, 185
Agilent Technologies, 513, 1
R.R. Donnelley, 402, 625
IRS, 329, 2
MTV Networks, 336, 1
UC Davis, 314, 82
Cargill, 449, 454
Orbitz Worldwide, 322, 0
West Corporation, 319, 221
University of Pittsburgh, 313, 38
Monsanto Company, 383, 0
Maxim Healthcare Services, 361, 10523
Turner Broadcasting, 330, 191
Holiday Retirement, 368, 41
Capital Group, 341, 333
Jones Lang LaSalle, 455, 907
Sony Electronics, 370, 110
Autodesk, 480, 193
DeVry University, 350, 2
Circuit City, 316, 0
SolarCity, 287, 738
Neiman Marcus, 329, 21
Cornell University, 313, 103
Southern California Edison, 320, 55
Roche, 467, 586
Philips Healthcare, 441, 0
Active Network, 326, 241
Johns Hopkins University, 321, 653
Power Home Remodeling Group, 290, 482
LA Fitness, 292, 303
General Dynamics C4 Systems, 292, 78
Eaton, 429, 1514
Sogeti, 354, 456
The Fresh Market, 352, 678
Citizens Financial Group, 339, 980
Rutgers University, 306, 93
Fresenius Medical Care - North America, 320, 0
Fry's Electronics, 298, 0
University of Chicago, 295, 739
Cobalt, 277, 57
Novartis Pharmaceuticals, 468, 0
Pacific Sunwear, 357, 81
UC San Francisco, 317, 0
Kellogg Company, 375, 315
Razorfish, 332, 158
Hy-Vee, 302, 110
Teleperformance, 511, 39
Gartner, 437, 125
McGladrey LLP, 340, 113
